fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230906 130606	-0.461879916210883	7982	1097	20	10	5	51268700	247
20230906 131030	-0.999671752455417	7986	1397	5	10	5	51328200	248
20230906 131711	-0.737537061134355	5124	1911	12	10	5	53967900	249
20230906 132252	-0.547463978306773	1593	160	6	10	5	68949300	250
20230906 133228	-0.89273922194201	4555	174	20	10	5	58909200	251
20230906 133747	-0.895138548881789	1652	182	6	10	5	68991300	252
20230906 134516	-0.921357905597224	2277	1132	18	10	5	59835300	253
20230906 135210	-0.0697762630770301	7995	1533	20	10	5	51331700	254
20230906 140021	-0.0994467078404943	2648	1322	16	10	5	59994900	255
20230906 140745	-0.10033872876112	3732	1848	12	10	5	59936800	256
20230906 141525	-0.605317652356793	7998	2868	20	10	5	51428300	257
20230906 142149	-0.908087641463557	7999	3390	20	10	5	51734900	258
20230906 142800	-0.0573686712430901	5404	2701	18	10	5	53146800	259
20230906 143318	-0.730495571454033	2127	329	6	10	5	69787200	260
20230906 143839	-0.899132400910713	1604	329	6	10	5	69804700	261
20230906 144406	-0.725720758115481	1592	339	6	10	5	69759900	262
20230906 145114	-0.89293811929827	2083	334	9	10	5	67179700	263
20230906 145641	-0.524448267348975	1647	321	6	10	5	69832700	264
20230906 150216	-0.667913994350137	2238	490	6	10	5	69623400	265
20230906 150746	-0.606354452519094	1671	81	6	10	5	68202400	266
20230906 151330	-0.917996504904082	500	250	6	10	5	67098500	267
20230906 151853	-0.222705028427697	1691	459	6	10	5	69532400	268
20230906 152426	-0.551794836001024	1660	289	6	10	5	69647200	269
20230906 153004	-0.292994237523619	1626	444	6	10	5	69113100	270
20230906 153534	-0.112581711172871	2369	482	6	10	5	69411300	271
20230906 154432	-0.743231245782284	1689	325	20	10	5	66476900	272
20230906 154957	-0.897383727359899	1761	342	6	10	5	69636000	273
20230906 155344	-0.60910495695542	4208	2104	4	10	5	56975100	274
20230906 155917	-0.384400942835603	8000	3822	10	10	5	51648100	275
20230906 160430	-0.898000458705477	926	125	6	10	5	67309900	276
20230906 160946	-0.736414728596639	1658	330	6	10	5	69825700	277
20230906 161456	-0.79865726437855	2257	474	6	10	5	69703200	278
20230906 162311	-0.824071466374169	2776	404	20	10	5	67725000	279
20230906 162923	-0.543362336208609	4692	2346	16	10	5	56791700	280
20230906 163426	-0.788340599756096	2246	480	6	10	5	69737500	281
20230906 163932	-0.24749235995302	2110	471	6	10	5	69799800	282
20230906 164437	-0.456563645875173	2276	462	6	10	5	69706700	283
20230906 164947	-0.465404114046165	2225	429	6	10	5	69802600	284
20230906 165457	-0.333989950738462	2245	463	6	10	5	69898500	285
